Design No.,Sphere 1x,Sphere 1y,Sphere1z,Sphere 2x,Sphere 2y,Sphere2z,Sphere 3x,Sphere 3y,Sphere3z,Sphere 4x,Sphere 4y,Sphere 4z,Sphere 5x,Sphere 5y,Sphere5z,Sphere 6x,Sphere 6y,Sphere6z,Sphere 7x,Sphere 7y,Sphere7z,Sphere 8x,Sphere 8y,Sphere8z,Sphere 9x,Sphere 9y,Sphere 9z,Sphere 10x,Sphere 10y,Sphere 10z,ME Coupling coefficient
7,-16.608,-21.765,20.497,-1.768,-29.735,-15.115,0.633,24.157,23.965,16.731,13.442,20.811,-26.636,-10.563,-9.244,-3.096,-14.97,13.148,27.656,-10.901,10.774,26.226,16.442,-14.012,-0.726,-4.117,13.679,-18.742,-26.548,-7.866,68.33
8,-5.559,18.894,23.307,-19.403,26.111,18.5,8.344,-25.812,0.165,29.337,-12.889,2.002,18.1,0.223,-11.011,20.374,-27.741,-11.158,9.462,25.234,29.299,6.526,3.48,-16.492,11.537,4.191,15.247,14.055,27.002,27.002,53.58
9,16.876,18.51,-13.513,-25.111,-17.949,29.611,-24.334,-27.154,25.792,2.91,0.426,-10.252,17.542,-4.642,-3.176,-13.712,-25.579,-25.876,-12.937,20.323,22.998,6.064,0.801,-9.802,7.147,18.672,-6.875,-10.781,20.663,-12.762,48.32
10,15.615,-17.808,-8.831,5.602,-16.123,-5.373,27.747,9.696,6.511,23.2,-26.042,13.276,-10.502,6.297,20.943,-9.286,-6.961,20.622,15.129,-8.173,-23.756,25.357,25.852,-25.637,-2.394,-20.828,-13.104,13.532,14.223,-29.193,57.1
11,8.196,-19.652,-23.609,24.712,1.609,19.944,16.917,-1.674,-2.691,-21.402,13.757,-7.029,-29.037,-18.2,23.854,-18.966,-27.282,15.039,16.428,-20.892,23.725,-19.822,3.765,-10.556,28.94,5.815,-13.787,1.194,7.212,29.114,63.02
12,5.929,-24.905,14.184,-5.709,17.304,25.736,0.141,-14.811,-26.926,-25.756,-6.511,-19.195,-27.339,-14.97,-3.789,-20.74,3.132,-18.809,-13.539,-1.055,-14.71,10.762,4.405,-17.101,-9.849,-26.514,-15.636,-5.206,-5.849,6.338,47.31
13,-3.562,-27.278,-4.867,-24.04,-7.805,1.237,24.569,-0.622,15.983,-3.961,-28.751,24.43,-12.674,8.939,2.59,9.225,-15.012,3.187,-16.543,4.867,-16.484,-6.633,17.496,-28.988,13.111,14.242,3.602,7.067,-3.055,-16.838,51.94
14,24.276,-18.81,12.718,8.666,-20.637,-12.173,3.881,-9.703,11.693,-2.386,-20.189,-13.765,-14.294,-5.481,28.275,3.563,-5.378,-15.253,14.441,-0.528,25.909,12.442,27.044,-1.703,20.816,-17.143,-26.248,24.964,3.975,0.605,49.61
15,8.205,-9.526,-15.527,-17.409,5.867,-20.013,-24.773,-26.727,2.492,-3.419,-11.204,-0.539,-24.603,-14.378,27.567,-27.321,-25.858,21.511,-25.985,-0.509,11.468,-18.509,-29.915,19.513,-24.618,12.11,-0.018,-0.57,17.177,-10.693,54.19
16,24.219,-0.785,5.701,-12.036,-7.858,-26.71,-6.214,-0.415,-10.124,8.951,-27.386,7.503,-28.375,-20.306,9.043,-13.268,27.489,3.275,-22.482,24.477,-22.672,-27.011,19.222,-21.457,-11.875,3.718,-17.771,-1.901,-7.85,29.819,75.93
17,-6.11,12.567,-0.108,7.133,12.732,-5.139,7.766,-7.251,4.206,-16.683,-13.744,-11.353,22.376,10.395,-8.874,-0.799,-15.831,4.238,-2.197,-2.785,22.941,15.125,-29.31,23.985,-6.743,23.581,-16.87,15.688,8.498,24.676,45.08
18,10.103,-27.261,-20.55,20.459,27.515,4.73,-13.713,23.093,22.793,-21.632,26.981,-4.711,-18.095,14.907,-1.018,-8.774,-1.97,-10.13,24.432,21.909,-4.216,25.86,-29.192,-27.274,-1.532,-13.847,16.216,7.404,-1.094,-4.633,60.85
19,-7.079,8.828,3.919,-11.675,15.681,11.616,6.666,-12.103,12.085,-1.818,25.533,23.316,27.728,17.248,21.496,-4.308,-14.87,-13.972,11.452,-4.141,16.532,-17.511,29.403,28.72,-17.111,-22.775,26.906,-5.951,10.051,-10.212,46.15
20,29.478,4.779,2.197,9.069,6.861,28.281,9.18,8.477,-12.272,25.982,-27.519,-2.743,27.203,17.072,-22.998,29.77,-28.19,-14.78,-17.055,5.378,20.816,-17.443,-7.547,22.715,11.234,9.958,-25.246,6.987,-0.022,7.953,46.91
21,-9.654,-15.081,0.948,23.722,2.118,23.824,-2.262,-8.149,1.964,-23.082,18.532,-15.538,-23.749,-13.691,-12.732,-26.525,-12.625,16.408,8.952,23.868,3.957,16.354,3.258,-14.836,-18.109,-23.053,-20.33,-26.371,7.38,-0.338,62.82
22,6.577,-23.59,2.96,20.528,0.285,-20.953,6.755,8.764,28.381,-23.547,-27.05,-4.341,1.322,-21.771,21.285,29.915,20.925,-29.519,-2.692,-18.151,0.115,-0.139,4.676,5.353,-23.007,21.507,-5.701,-26.556,-13.26,1.907,48.89
23,10.592,4.095,19.962,12.086,-5.251,22.695,-7.409,1.929,17.563,-26.005,-11.634,-21.201,24.007,-0.753,4.173,8.066,7.222,11.782,27.21,11.961,25.835,28.342,-10.333,17.132,17.608,27.875,-22.777,-14.89,17.246,10.195,130.29
24,26.091,18.709,-5.326,-23.309,7.131,-21.325,-6.081,3.857,21.749,26.744,25.864,15.591,21.363,8.456,12.509,-25.824,-2.236,14.124,-29.84,-24.743,-10.894,9.655,-29.297,-6.843,18.306,-19.061,17.382,-14.569,0.069,-27.085,47.76
25,-2.068,-8.455,-10.808,1.756,0.801,22.61,3.034,19.504,15.992,-1.686,10.913,-26.996,12.421,-13.115,-8.052,26.815,9.545,26.248,-23.345,3.729,-12.7,19.886,-9.175,-17.833,-25.116,17.672,-14.375,8.991,-8.809,-23.883,56.18
26,0.249,26.253,-29.355,16.373,-1.888,-2.062,-13.032,7.126,29.826,-3.128,8.779,-26.079,5.421,-24.448,-5.637,16.502,-6.047,-20.189,22.567,27.535,-24.943,-28.639,4.142,-11.355,19.479,-27.388,-27.555,-9.295,-4.051,-21.526,39.65
27,-8.606,9.437,2.341,-7.594,23.708,-1.722,-22.272,-9.58,14.437,9.603,8.803,-4.544,13.984,14.605,-22.356,28.394,27.154,25.65,17.265,5.601,-2.746,-6.179,-23.991,12.226,14.218,20.517,-6.697,-12.52,18.469,-7.45,73.32
28,28.825,-20.056,0.61,0.007,-14.758,-16.8,27.877,-21.221,5.657,-7.521,-2.776,-24.259,1.723,19.014,-29.793,25.571,18.624,1.928,4.509,-9.166,13.525,13.476,17.744,26.716,12.213,-23.709,-23.73,14.233,-14.829,-8.307,88.01
29,-26.301,-10.904,7.847,24.85,-10.2,-25.49,-9.859,26.85,-29.327,9.178,-9.191,5.668,23.115,-19.908,2.071,21.59,21.325,17.848,3.088,1.829,-20.603,16.712,-1.454,0.746,3.235,18.29,15.259,22.549,24.328,-20.526,60.76
30,10.126,22.417,-7.036,-23.058,14.163,-3.223,0.567,21.377,20.376,-7.7,18.159,-18.396,18.026,4.543,11.842,-9.069,8.145,-7.009,-17.363,4.006,-22.257,-13.004,-17.572,-27.525,-0.229,5.831,-2.738,-14.611,-19.491,-2.76,75.61
31,-25.137,4.257,12.385,-2.148,13.591,15.906,-18.923,-29.689,-9.536,20.35,8.329,25.55,-13.345,-11.977,-22.596,1.613,28.082,-26.562,21.764,-25.183,6.021,27.934,-15.541,-7.903,17.172,-20.812,-5.878,-19.324,-24.789,14.054,49.25
32,-24.534,21.892,11.661,-28.227,-6.957,-11.376,6.796,-24.957,25.566,-18.52,21.944,29.046,-21.856,1.846,-8.853,19.546,24.417,-7.948,-3.389,27.922,-25.867,22.568,13.22,-14.79,9.933,23.493,-20.685,26.345,-8.149,-10.071,67.92
33,16.6,6.31,-19.234,26.513,12.802,16.998,-29.011,19.481,22.487,-4.602,-9.666,28.958,-13.827,23.499,14.913,-13.208,-0.278,-3.255,2.397,11.426,0.338,6.064,-1.367,11.836,29.687,-27.826,-29.347,6.874,-2.462,27.214,51.31
34,-1.777,5.065,-12.305,18.789,26.316,-7.488,27.247,-7.036,-20.745,-25.625,21.028,-0.985,10.474,19.542,29.285,-4.512,12.777,-2.553,-21.021,-2.312,19.534,27.902,-20.373,3.143,3.095,-6.594,-24.388,-12.983,0.932,-29.316,100.29
35,24.797,6.106,-23.921,22.035,-5.986,7.701,8.829,-17.927,-29.771,-5.241,-4.993,-11.193,-25.895,-1.478,-3.337,-22.356,-1.409,18.652,-29.728,5.934,16.951,18.782,20.521,-5.351,-29.598,28.614,-24.605,3.998,21.7,-12.2,73.92
36,-21.629,-21.627,7.231,-0.044,-15.288,20.184,-29.943,16.455,-7.287,2.026,13.776,0.524,9.014,24.479,-15.893,-14.625,-3.955,18.364,8.228,0.77,0.801,-7.018,10.597,23.358,-2.832,-1.925,15.964,-27.126,17.495,28.777,88.92
37,10.04,7.044,-5.167,28.681,-25.08,10.391,25.016,-27.124,29.553,-18.352,-27.526,19.557,-11.328,2.673,-16.575,-5.289,11.076,-29.412,-28.389,8.894,-13.459,-18.907,18.404,-21.734,14.245,-26.703,-16.592,-16.543,-26.858,22.395,83.55
38,16.873,0.943,-2.481,1.41,22.412,-1.837,4.777,10.327,-26.408,6.224,10.98,11.922,11.449,24.415,0.219,-19.431,-14.043,16.591,5.083,19.182,27.639,-20.817,8.033,-7.313,-6.508,-10.118,20.003,23.194,-2.868,-14.232,42.02
39,14.022,15.137,-8.335,23.01,29.471,23.679,16.503,19.27,-16.295,-6.619,-12.934,-0.504,-24.807,-4.905,1.542,25.516,-3.825,1.848,9.481,-20.926,17.348,8.376,-24.722,2.754,-13.726,-2.637,14.533,23.959,-22.122,19.403,107.99
40,-2.667,-0.489,25.719,-22.199,-10.852,17.805,18.825,5.311,25.305,27.402,-5.589,19.75,24.803,15.258,16.28,-9.001,7.655,-29.708,15.856,15.027,-21.113,-4.192,11.703,16.723,10.967,1.791,15.435,18.911,-26.607,-15.968,56.47
41,0.484,27.557,18.391,25.5,9.408,29.853,-2.573,-20.646,-21.838,-16.04,-6.557,-10.6,-5.185,16.796,26.816,-19.577,10.627,-6.733,15.825,4.417,-1.399,13.064,8.726,17.305,-0.008,-2.577,-26.527,1.456,-3.704,2.613,64.55
42,-13.91,19.416,-15.082,5.061,-19.59,1.717,-28.713,20.072,27.009,-15.467,25.255,14.531,25.793,14.188,-17.868,22.341,18.29,14.84,-9.681,-20.161,1.96,8.449,-25.265,23.145,-0.128,-7.445,17.655,0.165,16.227,-2.9,65.89
43,-9.078,22.471,20.7,9.83,-7.626,24.113,14.051,-17.862,-27.434,24.255,-0.855,-3.407,-21.992,3.852,-29.233,5.579,20.242,-2.472,-6.475,-15.902,-11.92,18.109,-3.65,3.218,27.613,18.951,-25.424,-12.485,-24.862,-8.401,71.82
44,-9.886,9.154,-29.847,-5.736,-9.402,24.116,15.766,-2.735,-28.17,3.685,2.14,-2.29,-19.909,-15.112,-21.447,-7.835,-29.91,15.742,28.589,-24.742,-27.449,9.593,26.702,-0.761,-19.326,-0.836,-23.512,-27.427,-14.893,-8.362,41.36
45,-4.547,13.524,-21.693,-19.105,-21.793,-14.197,2.284,29.037,1.979,-1.345,24.083,-18.705,-1.068,-5.365,17.549,-9.008,-22.342,-24.061,-26.378,28.54,28.54,29.687,-21.579,12.56,-0.795,12.78,-2.03,9.389,-7.95,-28.318,67.12
46,29.695,6.591,-29.706,-14.501,-19.213,8.003,-3.34,-18.646,-17.858,-8.142,13.776,23.113,18.541,-13.404,-25.675,6.193,-13.702,-14.506,29.256,-9.211,7.17,15.305,26.985,16.627,-2.707,-7.046,3.843,-17.723,-25.442,8.903,49.78
47,26.911,-2.161,-21.37,-1.677,9.696,-21.2,2.519,27.958,-16.88,-25.51,-11.364,-16.502,-7.93,-5.764,21.257,-21.686,-1.765,-22.237,19.399,24.47,15.935,-13.924,24.679,-21.676,-5.648,28.584,-1.495,17.872,-6.079,20.778,46.22
48,11.485,5.192,26.748,22.897,-16.715,2.599,29.633,13.787,-26.583,24.796,-3.178,9.178,-21.514,-4.69,14.272,15.041,26.718,-13.017,-0.242,-13.429,-17.003,-1.178,11.997,27.55,-28.845,12.706,-2.78,16.214,-5.313,-5.512,48.97
49,-27.682,9.738,16.737,12.162,24.973,25.742,-0.325,18.964,-7.984,28.222,2.515,-11.995,15.866,1.529,9.608,16.965,21.226,-17.308,-27.663,-17.749,8.005,-27.145,-4.217,19.621,-5.03,-23.617,-22.614,29.199,23.632,9.873,44.99
50,-17.425,5.386,21.524,-3.998,-3.269,18.281,5.658,-27.418,-3.501,26.545,-13.988,-12.015,-10.75,-22.79,22.921,-25.569,-29.388,4.875,27.435,-12.124,5.481,3.444,19.235,-21.656,26.309,10.783,5.854,18.865,-19.386,19.78,74.87
